Date,"Close Price","20 Day MA","50 Day MA"
2015-08-03,230.1,255.00,243.48
2015-08-04,233.35,253.17,243.45
2015-08-05,234.65,251.65,243.43
2015-08-06,236.85,250.53,243.44
2015-08-07,239.15,249.64,243.47
2015-08-10,234.15,247.81,243.43
2015-08-11,223.55,245.67,243.38
2015-08-12,223.45,243.43,243.42
2015-08-13,225.55,241.38,243.40
2015-08-14,230,239.72,243.53
2015-08-17,229.8,238.02,243.75
2015-08-18,230.25,236.63,243.97
2015-08-19,229,234.88,244.07
2015-08-20,231.8,233.30,244.18
2015-08-21,228.75,232.17,244.25
2015-08-24,213.55,230.77,243.96
2015-08-25,223.8,230.33,243.87
2015-08-26,227.45,229.96,243.78
2015-08-27,226.7,229.49,243.68
2015-08-28,220.4,228.62,243.29
2015-08-31,223.45,228.28,242.86
2015-09-01,216.75,227.45,242.34
2015-09-02,220.25,226.73,241.94
2015-09-03,221.05,225.94,241.58
2015-09-04,223,225.14,241.14
2015-09-07,218.05,224.33,240.67
2015-09-08,220.45,224.17,240.20
2015-09-09,225.9,224.30,239.81
2015-09-10,228.2,224.43,239.23
2015-09-11,232.6,224.56,238.73
2015-09-14,231.95,224.67,238.08
2015-09-15,231,224.70,237.30
2015-09-16,232.55,224.88,236.65
2015-09-18,235.65,225.07,236.18
2015-09-21,233.6,225.32,235.71
2015-09-22,229.85,226.13,234.89
2015-09-23,230.05,226.44,234.17
2015-09-24,235.8,226.86,233.52
2015-09-28,231.65,227.11,232.82
2015-09-29,230.3,227.60,232.16
2015-09-30,230.2,227.94,231.49
2015-10-01,229.6,228.59,230.92
2015-10-05,229,229.02,230.22
2015-10-06,230.2,229.48,229.56
2015-10-07,241.3,230.40,229.35
2015-10-08,240.6,231.52,229.33
2015-10-09,238.6,232.43,229.46
2015-10-12,238.65,233.07,229.53
2015-10-13,242.15,233.76,229.65
2015-10-14,242.05,234.24,229.73
2015-10-15,242.6,234.77,229.98
2015-10-16,247.55,235.60,230.27
2015-10-19,246.95,236.32,230.52
2015-10-20,245.85,236.83,230.70
2015-10-21,252.15,237.76,230.96
2015-10-23,251.5,238.84,231.30
2015-10-26,244.05,239.54,231.71
2015-10-27,276.15,241.55,232.77
2015-10-28,271.8,243.56,233.69
2015-10-29,263.95,245.24,234.37
2015-10-30,265.4,247.00,235.08
2015-11-02,274.15,249.23,235.96
2015-11-03,287.5,252.16,237.13
2015-11-04,285.6,254.93,238.21
2015-11-05,281.2,256.92,239.26
2015-11-06,282.85,259.04,240.64
